image_path,source,dish,label,all_labels,n_labels,group,split
MedGR Dataset/DatasetForAIDev/tiramisu/image_24.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_25.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_26.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_27.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_28.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_29.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_30.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_31.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_32.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_33.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_34.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_35.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_36.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_37.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_38.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_39.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_3,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_50.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_51.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_52.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_53.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_54.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_55.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_56.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_57.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_58.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_59.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_5,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_60.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_61.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_62.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_63.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_64.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_65.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_66.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_67.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_68.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_69.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_6,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_70.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_71.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_72.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_73.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_74.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_75.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_76.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_77.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_78.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_79.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_7,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_80.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_81.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_82.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_83.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_84.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_85.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_86.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_87.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_88.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_89.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_8,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_90.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_91.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_92.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_93.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_94.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_95.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_96.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_97.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_98.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_99.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_9,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_100.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_10,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_101.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_10,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_102.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_10,test
MedGR Dataset/DatasetForAIDev/tiramisu/image_103.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_10,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_0.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_1.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_2.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_3.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_4.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_5.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_6.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_7.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_8.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_9.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_0,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_20.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_21.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_22.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_23.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_24.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_25.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_26.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_27.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_28.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_29.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_2,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_30.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_31.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_32.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_33.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_34.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_35.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_36.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_37.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_38.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_39.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_3,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_40.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_41.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_42.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_43.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_44.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_45.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_46.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_47.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_48.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_49.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_4,test
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_50.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_51.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_52.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_53.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_54.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_55.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_56.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_57.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_58.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_59.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_5,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_60.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_61.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_62.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_63.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_64.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_65.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_66.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_67.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_68.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_69.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_6,train
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_70.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_7,val
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_71.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_7,val
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_72.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_7,val
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_73.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_7,val
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_74.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_7,val
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_75.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_7,val
MedGR Dataset/DatasetForAIDev/octopus in vinegar sauce/image_76.npy,medgr,octopus in vinegar sauce,octopus in vinegar sauce,octopus in vinegar sauce,1,medgr/octopus in vinegar sauce/bucket_7,val
